Order_ID,Date,Customer_ID,Customer_Age,Gender,Location,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Applied,Payment_Method,Customer_Rating
VV-1049,07-08-2025,CUST-115,23,Male,South,Apparel,Running Joggers,1,39.99,0.1,Crypto,4
VV-1126,07-08-2025,CUST-121,25,Male,North,Apparel,Cargo Pants,5,49.99,0.25,PayPal,3
VV-1007,08-08-2025,CUST-156,65,Female,South,Electronics,Portable SSD,3,109.99,0.3,Credit Card,2
VV-1013,08-08-2025,CUST-122,22,Male,East,Apparel,Running Joggers,2,39.99,0.2,UPI,4
VV-1040,08-08-2025,CUST-140,35,Male,North,Electronics,Portable SSD,5,109.99,0.25,UPI,3
VV-1161,08-08-2025,CUST-160,18,Female,West,Apparel,Knit Sweater,3,54.99,0.25,Crypto,2
VV-1166,08-08-2025,CUST-109,37,Female,North,Apparel,Oversized Hoodie,4,44.99,0.3,PayPal,4
VV-1198,08-08-2025,CUST-112,37,Male,South,Electronics,Portable SSD,1,109.99,0,PayPal,5
VV-1001,09-08-2025,CUST-136,33,Male,West,Apparel,Denim Jacket,1,69.99,0,PayPal,3
VV-1016,09-08-2025,CUST-106,47,Male,West,Apparel,Denim Jacket,5,69.99,0.3,Credit Card,3
VV-1060,09-08-2025,CUST-107,29,Non-binary,South,Home & Living,LED Desk Lamp,1,42.99,0,PayPal,4
VV-1125,09-08-2025,CUST-140,33,Non-binary,North,Electronics,Portable SSD,2,109.99,0,UPI,4
VV-1036,11-08-2025,CUST-117,46,Female,West,Apparel,Cargo Pants,4,49.99,0.2,UPI,3
VV-1087,11-08-2025,CUST-147,42,Non-binary,East,Apparel,Knit Sweater,5,54.99,0.2,Credit Card,3
VV-1167,11-08-2025,CUST-152,59,Male,South,Electronics,Mechanical Keyboard,2,89.99,0,Credit Card,4
VV-1097,13-08-2025,CUST-102,65,Male,North,Apparel,Winter Puffer Jacket,2,119.99,0.1,Credit Card,4
VV-1138,13-08-2025,CUST-122,50,Male,East,Home & Living,LED Desk Lamp,1,42.99,0,Credit Card,5
VV-1192,13-08-2025,CUST-159,47,Female,East,Apparel,Winter Puffer Jacket,1,119.99,0.1,Crypto,3
VV-1200,13-08-2025,CUST-137,53,Female,East,Home & Living,Insulated Water Bottle,1,27.99,0.1,PayPal,4
VV-1085,15-08-2025,CUST-102,41,Female,North,Apparel,Oversized Hoodie,4,44.99,0.25,UPI,3
VV-1102,15-08-2025,CUST-136,46,Male,South,Electronics,Bluetooth Speaker,1,59.99,0.1,PayPal,5
VV-1114,15-08-2025,CUST-108,57,Male,North,Electronics,Smartwatch,4,129.99,0.2,Credit Card,3
VV-1144,17-08-2025,CUST-144,42,Male,North,Home & Living,Weighted Blanket,5,89.99,0.2,PayPal,4
VV-1032,18-08-2025,CUST-131,18,Male,North,Electronics,Gaming Mouse,1,49.99,0.1,UPI,5
VV-1157,18-08-2025,CUST-152,50,Male,East,Electronics,Noise Cancelling Earbuds,2,99.99,0,Credit Card,5
VV-1128,19-08-2025,CUST-131,41,Male,West,Electronics,Bluetooth Speaker,2,59.99,0,Credit Card,4
VV-1079,20-08-2025,CUST-120,53,Male,East,Electronics,Noise Cancelling Earbuds,1,99.99,0,UPI,5
VV-1072,21-08-2025,CUST-129,34,Male,East,Home & Living,Aroma Diffuser,3,36.99,0.2,UPI,3
VV-1093,21-08-2025,CUST-106,19,Male,East,Apparel,Cargo Pants,2,49.99,0,UPI,4
VV-1191,21-08-2025,CUST-145,61,Female,West,Electronics,Portable SSD,1,109.99,0,Credit Card,3
VV-1050,22-08-2025,CUST-115,55,Male,East,Electronics,Gaming Mouse,1,49.99,0.1,Credit Card,4
VV-1101,22-08-2025,CUST-104,54,Female,West,Electronics,Gaming Mouse,1,49.99,0,Credit Card,3
VV-1174,22-08-2025,CUST-102,49,Male,East,Apparel,Oversized Hoodie,4,44.99,0,PayPal,4
VV-1188,22-08-2025,CUST-153,53,Male,West,Apparel,Running Joggers,2,39.99,0,Credit Card,4
VV-1106,23-08-2025,CUST-144,23,Male,South,Electronics,Smartwatch,4,129.99,0.25,Crypto,5
VV-1176,23-08-2025,CUST-104,32,Male,West,Electronics,Wireless Headphones,1,79.99,0,Credit Card,3
VV-1083,25-08-2025,CUST-109,53,Male,North,Home & Living,Weighted Blanket,4,89.99,0.2,PayPal,3
VV-1156,25-08-2025,CUST-159,52,Female,West,Home & Living,LED Desk Lamp,1,42.99,0.1,Credit Card,4
VV-1064,27-08-2025,CUST-130,27,Female,West,Apparel,Casual Sneakers,1,74.99,0.1,PayPal,5
VV-1046,28-08-2025,CUST-142,44,Female,North,Home & Living,Aroma Diffuser,2,36.99,0.1,UPI,4
VV-1120,28-08-2025,CUST-125,21,Female,South,Apparel,Winter Puffer Jacket,1,119.99,0,UPI,4
VV-1134,28-08-2025,CUST-121,63,Male,West,Electronics,Portable SSD,1,109.99,0,Credit Card,4
VV-1160,28-08-2025,CUST-135,42,Male,West,Apparel,Graphic T-Shirt,1,24.99,0,UPI,3
VV-1110,29-08-2025,CUST-127,30,Male,West,Home & Living,Aroma Diffuser,4,36.99,0.2,UPI,2
VV-1065,30-08-2025,CUST-101,56,Female,West,Home & Living,Smart Plug,3,19.99,0.25,PayPal,3
VV-1076,30-08-2025,CUST-117,36,Male,South,Electronics,Gaming Mouse,5,49.99,0.25,PayPal,4
VV-1169,30-08-2025,CUST-117,33,Female,West,Electronics,Mechanical Keyboard,3,89.99,0.2,PayPal,2
VV-1199,30-08-2025,CUST-101,59,Female,North,Electronics,USB-C Hub,1,39.99,0,Credit Card,5
VV-1077,31-08-2025,CUST-155,36,Female,South,Electronics,Bluetooth Speaker,5,59.99,0.3,Credit Card,3
VV-1117,01-09-2025,CUST-141,42,Female,North,Electronics,Gaming Mouse,2,49.99,0,Credit Card,4
VV-1133,10-09-2025,CUST-114,59,Non-binary,East,Home & Living,Insulated Water Bottle,1,27.99,0,Credit Card,4
VV-1020,11-09-2025,CUST-160,34,Male,West,Electronics,Portable SSD,1,109.99,0.1,Credit Card,3
VV-1127,18-09-2025,CUST-151,36,Female,West,Apparel,Graphic T-Shirt,1,24.99,0.1,UPI,3
VV-1104,21-09-2025,CUST-150,29,Male,West,Home & Living,Ergonomic Cushion,3,29.99,0.25,Credit Card,3
VV-1018,22-09-2025,CUST-104,63,Female,North,Electronics,Wireless Headphones,2,79.99,0.1,Credit Card,4
VV-1180,24-09-2025,CUST-150,40,Male,South,Home & Living,Weighted Blanket,2,89.99,0.1,PayPal,3
VV-1047,25-09-2025,CUST-130,48,Male,West,Apparel,Winter Puffer Jacket,2,119.99,0.25,UPI,3
VV-1132,02-10-2025,CUST-141,19,Male,West,Electronics,USB-C Hub,4,39.99,0.2,Crypto,2
VV-1129,03-10-2025,CUST-109,26,Non-binary,East,Apparel,Winter Puffer Jacket,4,119.99,0.25,Credit Card,3
VV-1073,10-10-2025,CUST-137,58,Non-binary,West,Electronics,USB-C Hub,1,39.99,0,Credit Card,3
VV-1142,16-10-2025,CUST-145,28,Female,West,Home & Living,Insulated Water Bottle,2,27.99,0.2,Credit Card,2
VV-1145,16-10-2025,CUST-136,30,Non-binary,South,Electronics,USB-C Hub,4,39.99,0.2,UPI,3
VV-1025,18-10-2025,CUST-157,27,Male,North,Electronics,Wireless Headphones,1,79.99,0,UPI,5
VV-1041,19-10-2025,CUST-157,60,Male,East,Electronics,Noise Cancelling Earbuds,1,99.99,0,Credit Card,4
VV-1026,24-10-2025,CUST-122,27,Female,South,Electronics,Smartwatch,2,129.99,0,UPI,5
VV-1058,24-10-2025,CUST-132,54,Female,South,Electronics,USB-C Hub,4,39.99,0.3,PayPal,3
VV-1075,26-10-2025,CUST-138,40,Male,North,Electronics,Smartwatch,4,129.99,0.25,PayPal,3
VV-1109,26-10-2025,CUST-116,28,Female,North,Electronics,Mechanical Keyboard,2,89.99,0.1,Crypto,4
VV-1019,02-11-2025,CUST-106,50,Male,North,Electronics,Mechanical Keyboard,4,89.99,0.3,Credit Card,3
VV-1045,04-11-2025,CUST-105,62,Female,West,Electronics,Bluetooth Speaker,1,59.99,0.1,PayPal,2
VV-1010,05-11-2025,CUST-124,41,Female,East,Home & Living,Smart Coffee Mug,1,34.99,0.1,PayPal,4
VV-1054,05-11-2025,CUST-151,27,Female,West,Electronics,Mechanical Keyboard,4,89.99,0.2,Credit Card,3
VV-1056,06-11-2025,CUST-130,18,Male,West,Apparel,Oversized Hoodie,4,44.99,0.2,UPI,3
VV-1023,09-11-2025,CUST-154,36,Female,West,Electronics,USB-C Hub,3,39.99,0,PayPal,4
VV-1037,09-11-2025,CUST-125,51,Female,South,Electronics,USB-C Hub,3,39.99,0,Credit Card,5
VV-1052,10-11-2025,CUST-156,18,Female,North,Apparel,Oversized Hoodie,3,44.99,0.2,Crypto,2
VV-1003,12-11-2025,CUST-156,40,Female,West,Apparel,Denim Jacket,1,69.99,0,Crypto,4
VV-1159,18-11-2025,CUST-127,21,Female,North,Home & Living,Smart Coffee Mug,1,34.99,0,UPI,4
VV-1196,19-11-2025,CUST-134,24,Female,East,Apparel,Running Joggers,3,39.99,0,UPI,4
VV-1024,21-11-2025,CUST-110,34,Male,South,Apparel,Oversized Hoodie,4,44.99,0.3,Credit Card,4
VV-1051,24-11-2025,CUST-154,52,Non-binary,West,Electronics,Noise Cancelling Earbuds,2,99.99,0.1,Credit Card,2
VV-1074,27-11-2025,CUST-158,60,Male,North,Home & Living,Smart Coffee Mug,5,34.99,0.2,UPI,4
VV-1112,27-11-2025,CUST-124,45,Male,West,Home & Living,Weighted Blanket,1,89.99,0,UPI,3
VV-1082,28-11-2025,CUST-151,47,Male,North,Apparel,Oversized Hoodie,4,44.99,0,Credit Card,4
VV-1116,01-12-2025,CUST-135,57,Male,East,Electronics,Bluetooth Speaker,4,59.99,0,Credit Card,4
VV-1067,02-12-2025,CUST-109,38,Female,West,Home & Living,Insulated Water Bottle,4,27.99,0.2,Crypto,4
VV-1105,03-12-2025,CUST-145,39,Male,West,Electronics,Smartwatch,1,129.99,0.1,Credit Card,2
VV-1044,04-12-2025,CUST-146,28,Non-binary,North,Electronics,USB-C Hub,3,39.99,0.25,PayPal,3
VV-1063,04-12-2025,CUST-108,19,Non-binary,East,Apparel,Graphic T-Shirt,1,24.99,0,UPI,4
VV-1183,04-12-2025,CUST-136,19,Male,East,Apparel,Winter Puffer Jacket,1,119.99,0,Credit Card,4
VV-1118,05-12-2025,CUST-109,20,Male,South,Apparel,Cargo Pants,1,49.99,0.1,PayPal,5
VV-1131,05-12-2025,CUST-122,58,Male,East,Electronics,Smartwatch,1,129.99,0.1,Credit Card,3
VV-1033,06-12-2025,CUST-110,60,Male,East,Electronics,Gaming Mouse,3,49.99,0.3,Credit Card,3
VV-1122,06-12-2025,CUST-151,62,Male,South,Home & Living,Weighted Blanket,2,89.99,0.1,Credit Card,4
VV-1014,07-12-2025,CUST-107,52,Male,West,Electronics,Noise Cancelling Earbuds,1,99.99,0.1,Credit Card,3
VV-1038,07-12-2025,CUST-138,22,Male,South,Apparel,Oversized Hoodie,3,44.99,0,UPI,4
VV-1002,08-12-2025,CUST-149,46,Female,West,Electronics,Smartwatch,1,129.99,0,UPI,4
VV-1070,08-12-2025,CUST-103,65,Male,West,Home & Living,LED Desk Lamp,5,42.99,0.2,Credit Card,3
VV-1135,08-12-2025,CUST-121,27,Male,South,Electronics,Portable SSD,3,109.99,0.25,Credit Card,3
VV-1092,09-12-2025,CUST-143,19,Male,West,Apparel,Winter Puffer Jacket,1,119.99,0,UPI,3
VV-1146,09-12-2025,CUST-119,36,Male,West,Electronics,Portable SSD,5,109.99,0.3,UPI,3
VV-1022,10-12-2025,CUST-117,57,Non-binary,West,Electronics,USB-C Hub,3,39.99,0,UPI,4
VV-1137,10-12-2025,CUST-113,52,Male,North,Electronics,USB-C Hub,3,39.99,0.2,PayPal,3
VV-1171,10-12-2025,CUST-147,27,Male,South,Apparel,Running Joggers,4,39.99,0.2,PayPal,3
VV-1099,11-12-2025,CUST-142,32,Male,North,Apparel,Denim Jacket,2,69.99,0,PayPal,3
VV-1071,12-12-2025,CUST-159,45,Male,East,Apparel,Graphic T-Shirt,3,24.99,0,Credit Card,4
VV-1121,12-12-2025,CUST-143,51,Male,North,Electronics,Portable SSD,4,109.99,0.25,Credit Card,3
VV-1124,13-12-2025,CUST-134,54,Male,North,Electronics,Gaming Mouse,4,49.99,0.2,Credit Card,3
VV-1015,14-12-2025,CUST-135,47,Female,North,Apparel,Denim Jacket,5,69.99,0.2,Credit Card,4
VV-1086,14-12-2025,CUST-140,61,Male,West,Electronics,Bluetooth Speaker,1,59.99,0,Credit Card,4
VV-1143,14-12-2025,CUST-121,27,Male,North,Apparel,Cargo Pants,2,49.99,0.2,UPI,4
VV-1190,14-12-2025,CUST-111,52,Male,West,Home & Living,LED Desk Lamp,2,42.99,0,Credit Card,3
VV-1158,15-12-2025,CUST-138,54,Male,East,Home & Living,Smart Coffee Mug,4,34.99,0.25,Credit Card,4
VV-1136,16-12-2025,CUST-104,37,Female,North,Electronics,Noise Cancelling Earbuds,1,99.99,0,Crypto,5
VV-1149,16-12-2025,CUST-160,59,Male,West,Electronics,Wireless Headphones,1,79.99,0,UPI,2
VV-1181,16-12-2025,CUST-110,32,Male,West,Apparel,Knit Sweater,2,54.99,0.1,Credit Card,3
VV-1008,20-12-2025,CUST-147,22,Male,East,Apparel,Casual Sneakers,2,74.99,0.25,PayPal,3
VV-1034,20-12-2025,CUST-101,22,Male,West,Apparel,Knit Sweater,2,54.99,0,Crypto,4
VV-1168,22-12-2025,CUST-148,53,Male,North,Apparel,Casual Sneakers,3,74.99,0,UPI,4
VV-1155,25-12-2025,CUST-139,37,Female,East,Home & Living,Weighted Blanket,1,89.99,0,PayPal,5
VV-1057,26-12-2025,CUST-111,58,Female,West,Electronics,Bluetooth Speaker,3,59.99,0.1,Credit Card,3
VV-1179,27-12-2025,CUST-145,43,Female,South,Apparel,Knit Sweater,1,54.99,0.1,UPI,4
VV-1066,28-12-2025,CUST-145,27,Male,East,Electronics,Portable SSD,1,109.99,0,PayPal,4
VV-1103,29-12-2025,CUST-154,20,Male,West,Apparel,Winter Puffer Jacket,4,119.99,0.1,Crypto,2
VV-1012,31-12-2025,CUST-158,31,Female,West,Apparel,Casual Sneakers,3,74.99,0.2,PayPal,3
VV-1081,31-12-2025,CUST-123,35,Male,South,Apparel,Running Joggers,2,39.99,0,UPI,2
